Date,Open,High,Low,Close,Volume,next_close_is_high,next_close_is_low
14-Mar-08,388,390,377,380.25,54704831,0,1
13-Mar-08,395,398,388.75,393.75,43600463,0,1
12-Mar-08,403,408.5,398.75,400,39771778,0,1
11-Mar-08,410.5,417.5,403,403,43407594,0,1
10-Mar-08,404.75,415,402,410.5,32018013,0,1
7-Mar-08,400.75,410,396.75,405.75,38602135,1,0
6-Mar-08,393,404.5,392,403,33799668,1,0
5-Mar-08,390,394.25,383,391.75,34302273,1,0
4-Mar-08,393.25,398.25,385,388.25,27638434,1,0
3-Mar-08,395,399.5,391,393,19510032,0,1
29-Feb-08,398.5,405.75,395.25,400.5,36672884,0,1
28-Feb-08,405.75,409,400,401,27157295,0,1
27-Feb-08,411,411,399.5,406.75,25700421,0,1
26-Feb-08,405.75,410.75,400.75,409.25,26249644,0,1
25-Feb-08,405,407.5,396.25,403.5,22808929,1,0
22-Feb-08,404.75,406.75,396.75,400.25,26001960,1,0
21-Feb-08,410.25,413,403.75,407.25,21201667,0,1
20-Feb-08,411.75,414,407.25,408.75,32510491,0,1
19-Feb-08,406,417.75,402,415,28387362,0,1
18-Feb-08,402,409.75,399.75,408,15235705,1,0
15-Feb-08,403,406.5,396.25,400.5,29017275,1,0
14-Feb-08,402,408.5,400,403.25,28368819,0,1
13-Feb-08,402.75,406.25,398,400,24866064,1,0
12-Feb-08,391.25,409.5,389.25,406,43296341,0,1
11-Feb-08,386.25,393.75,383.25,387.5,24681846,1,0
8-Feb-08,391,391.5,386.25,389,30385356,0,1
7-Feb-08,399.25,399.75,383.5,386.75,43446136,1,0
6-Feb-08,392.25,402,392,399.25,35232710,0,1
5-Feb-08,408.5,412,394.25,396.5,47914488,1,0
4-Feb-08,418,420,407.25,408.75,31007183,0,1
1-Feb-08,420.5,421.75,412.75,416.75,43564684,0,1
31-Jan-08,409,419.75,406,417,40856106,0,1
30-Jan-08,417.5,420.5,410,410.75,20149967,1,0
29-Jan-08,419.25,422,414.5,421.25,25865110,0,1
28-Jan-08,416.5,420.5,408.75,415,21611073,1,0
25-Jan-08,437,437,417.5,420.75,33765478,0,1
24-Jan-08,426.25,432.25,417,430,36738586,0,1
23-Jan-08,430,430,410.5,412.25,44370960,1,0
22-Jan-08,400,430,380,426.5,57476773,0,1
21-Jan-08,417,428,410.5,410.5,40308785,1,0
18-Jan-08,425.75,434.75,421.25,424.75,50739428,0,1
17-Jan-08,425,432,417.75,423,40338506,1,0
16-Jan-08,404.25,421.25,400,417.75,58112141,1,0
15-Jan-08,398,414,397,407,78556190,1,0
14-Jan-08,418,422,413,420,43838027,0,1
11-Jan-08,418.5,428.25,416,426,53318057,0,1
10-Jan-08,428.25,432.25,408,416.25,59192529,1,0
9-Jan-08,430,431.5,413,418.75,76337177,0,1
8-Jan-08,447.75,454.25,441,442,30849340,0,1
7-Jan-08,453.25,456,441,445.5,36682358,0,1
4-Jan-08,469,472.5,453,456,28620998,0,1
3-Jan-08,469.25,473,462.25,468,17591731,0,1
2-Jan-08,473.5,482.75,470.5,471.75,13425909,0,1
31-Dec-07,479.25,479.5,473.5,477.25,2313049,0,1
28-Dec-07,477.25,483,473.75,475.75,13830361,1,0
27-Dec-07,479.5,484.5,478.5,481,11349564,0,1
24-Dec-07,474.25,480,474.25,478,3049970,1,0
21-Dec-07,475.25,477.5,471.25,475.25,38308091,1,0
20-Dec-07,461,472.5,461,471,31510256,1,0
19-Dec-07,464.5,464.5,458.75,461,23007477,1,0
18-Dec-07,462.5,468.75,459.5,464,23227931,0,1
17-Dec-07,460,467,457.75,464.25,23136657,0,1
14-Dec-07,466,471,462.75,464.75,14272409,0,1
13-Dec-07,474,476,464.25,465,23331116,0,1
12-Dec-07,471,485,470.75,478,28905247,0,1
11-Dec-07,479.75,480,474.5,477.25,18056397,1,0
10-Dec-07,476,482.5,475.25,476.75,16572831,1,0
7-Dec-07,478.25,481.75,472.5,477.25,26665449,0,1
6-Dec-07,482.25,487,475,479.5,26163544,0,1
5-Dec-07,486.75,487,472.5,480,31984932,0,1
4-Dec-07,486,491,475.75,484.25,35649871,0,1
